Plate,Well,row,column,Sample,Soil,Genotype,Plot,Fraction,OTU_Header,DADA2_Header,Phosphate,Pot,Depth,LDepth
Plate3,C4,c,4,L29,medium-5,phr1/phl1,Plot14,Shoot,P30Plate3,Plate3_C4,medium,Pot29,47220,10.7625728106395
Plate3,D1,d,1,L1,low-1,Col-0,Plot1,Shoot,P61Plate3,Plate3_D1,low,Pot1,42793,10.664129816792
Plate3,D2,d,2,L17,low-5,phf1,Plot13,Shoot,P25Plate3,Plate3_D2,low,Pot17,37512,10.5324161607694
Plate3,D3,d,3,S54,high-6,phf1,Plot18,Soil,P85Plate3,Plate3_D3,high,Pot54,46895,10.755666338943
Plate3,E1,e,1,L72,low+Pi-6,phf1,Plot16,Shoot,P3Plate3,Plate3_E1,low+Pi,Pot72,45712,10.7301161244706
Plate3,E2,e,2,R43,high-1,phr1/phl1,Plot3,Root,P69Plate3,Plate3_E2,high,Pot43,9036,9.10897187758789
Plate3,E3,e,3,R3,low-3,Col-0,Plot7,Root,P59Plate3,Plate3_E3,low,Pot3,37922,10.5432866975941
Plate3,E4,e,4,L56,low+Pi-2,Col-0,Plot4,Shoot,P56Plate3,Plate3_E4,low+Pi,Pot56,35659,10.4817568483991
Plate3,F1,f,1,R60,low+Pi-6,Col-0,Plot16,Root,P6Plate3,Plate3_F1,low+Pi,Pot60,50307,10.8258995114152
Plate3,F2,f,2,L67,low+Pi-1,phf1,Plot1,Shoot,P94Plate3,Plate3_F2,low+Pi,Pot67,32079,10.3759568894248
Plate3,F4,f,4,L68,low+Pi-2,phf1,Plot4,Shoot,P80Plate3,Plate3_F4,low+Pi,Pot68,44504,10.7033343517551
Plate3,F6,f,6,L47,high-5,phr1/phl1,Plot15,Shoot,P24Plate3,Plate3_F6,high,Pot47,36146,10.4953215713956
Plate3,G1,g,1,L15,low-3,phf1,Plot7,Shoot,P81Plate3,Plate3_G1,low,Pot15,32118,10.3771718996214
Plate3,G2,g,2,R52,high-4,phf1,Plot12,Root,P33Plate3,Plate3_G2,high,Pot52,23082,10.0468083719804
Plate3,G3,g,3,L28,medium-4,phr1/phl1,Plot11,Shoot,P1Plate3,Plate3_G3,medium,Pot28,42259,10.6515726278517
Plate3,G4,g,4,R48,high-6,phr1/phl1,Plot18,Root,P11Plate3,Plate3_G4,high,Pot48,48044,10.7798725366744
Plate3,G5,g,5,L42,high-6,Col-0,Plot18,Shoot,P53Plate3,Plate3_G5,high,Pot42,42163,10.6492983381789
Plate3,H2,h,2,R12,low-6,phr1/phl1,Plot16,Root,P77Plate3,Plate3_H2,low,Pot12,55563,10.9252727910909
Plate3,H3,h,3,L22,medium-4,Col-0,Plot11,Shoot,P26Plate3,Plate3_H3,medium,Pot22,40798,10.6163883395829
Plate3,H4,h,4,L55,low+Pi-1,Col-0,Plot1,Shoot,P88Plate3,Plate3_H4,low+Pi,Pot55,37855,10.5415183505374
Plate3,H5,h,5,L19,medium-1,Col-0,Plot2,Shoot,P10Plate3,Plate3_H5,medium,Pot19,46080,10.7381342953698
