Gene,group,value,Cluster,Genotype,Phosphate
AT3G16150,Col_0_low,1.52560492326341,Cluster1,Col_0,low
AT3G16150,phr1_phl1_low,-1.04764060328916,Cluster1,phr1_phl1,low
AT3G16150,phf1_low,-0.0168369748546918,Cluster1,phf1,low
AT3G16150,Col_0_low_Pi,-0.595149023655421,Cluster1,Col_0,low_Pi
AT3G16150,phf1_low_Pi,-0.470769859547892,Cluster1,phf1,low_Pi
AT3G16150,phr1_phl1_low_Pi,-0.299184872241231,Cluster1,phr1_phl1,low_Pi
AT3G19450,Col_0_low,1.15815720973824,Cluster1,Col_0,low
AT3G19450,phr1_phl1_low,-0.313589308593153,Cluster1,phr1_phl1,low
AT3G19450,phf1_low,-0.461334894616413,Cluster1,phf1,low
AT3G19450,Col_0_low_Pi,0.00998509426098652,Cluster1,Col_0,low_Pi
AT3G19450,phr1_phl1_low_Pi,-0.582532803800188,Cluster1,phr1_phl1,low_Pi
AT3G19450,phf1_low_Pi,-0.622705449949054,Cluster1,phf1,low_Pi
AT3G19710,Col_0_low,1.21138781974604,Cluster1,Col_0,low
AT3G19710,Col_0_low_Pi,-0.70524410772867,Cluster1,Col_0,low_Pi
AT3G19710,phf1_low,0.47263592174685,Cluster1,phf1,low
AT3G19710,phr1_phl1_low,-0.716479707778045,Cluster1,phr1_phl1,low
AT3G19710,phf1_low_Pi,-0.712943893605408,Cluster1,phf1,low_Pi
AT3G19710,phr1_phl1_low_Pi,-0.782735806254434,Cluster1,phr1_phl1,low_Pi
AT3G21720,phf1_low,-0.748017985859358,Cluster1,phf1,low
AT3G21720,phf1_low_Pi,-0.374672696105601,Cluster1,phf1,low_Pi
AT3G21720,phr1_phl1_low_Pi,-0.387075392133506,Cluster1,phr1_phl1,low_Pi
AT3G21720,phr1_phl1_low,-0.538679023671817,Cluster1,phr1_phl1,low
AT3G21720,Col_0_low_Pi,-0.251330066972947,Cluster1,Col_0,low_Pi
AT3G21720,Col_0_low,1.65349764107077,Cluster1,Col_0,low
AT3G22240,phf1_low,-0.129402409859402,Cluster1,phf1,low
